1 Woody Barrett	QB	6-2	231	RS FR	Winter Garden, Fla. (West Orange)
62	Jaunta'vius JohnsonClick here to hear it	DL	6-2	320	SO	Lincoln, Ala. (Lincoln)
64	Mike HortonClick here to hear it	OL	6-4	323	SO	Atlanta, Ga. (Lakeside)
65	Tucker Brown	OL	6-3	290	JR	Trussville, Ala. (Hewitt-Trussville)
66	Bailey SharpClick here to hear it	OL	6-5	297	SO	Marietta, Ga. (Sprayberry)
67	Tyler Carr	OL	6-5	328	SO	Southside, Ala. (Southside)
68	Zach Wade	LS	5-10	207	JR	Bremen, Ga. (Bremen)
69	Ike Powell	LS	6-3	256	SR	Tifton, Ga. (Tift County)
71	Braden SmithClick here to hear it	OL	6-6	305	SR	Olathe, Kan. (Olathe South)
72	Prince Micheal Sammons	OL	6-7	296	RS FR	Clarksville, Ohio (Cincinnati Hills Christian Academy)
73	Austin GolsonClick here to hear it	OL	6-5	314	SR	Prattville, Ala. (Ole Miss)
76	Prince Tega WanoghoClick here to hear it	OL	6-8	300	SO	Elmore, Ala. (Edgewood Academy)
77	Marquel Harrell	OL	6-3	314	SO	Fairburn, Ga. (Creekside)
78	Darius JamesClick here to hear it	OL	6-4	327	SR	Killeen, Texas (Texas)
79	Andrew WilliamsClick here to hear it	DL	6-4	285	JR	McDonough, Ga. (Eagle's Landing Christian Acad.)
80	Sal Cannella	TE	6-5	230	SO	Arlington Heights, Ill. (Scottsdale CC)
81	Darius SlaytonClick here to hear it	WR	6-2	191	SO	Norcross, Ga. (Greater Atlanta Christian)
82	Pete Berryman	TE	6-5	220	JR	Birmingham, Ala. (Mountain Brook)
83	Ryan DavisClick here to hear it	WR	5-9	174	JR	St. Petersburg, Fla. (Lakewood)
84	Jaylen McGriff	WR	6-0	211	JR	Brentwood, Tenn. (Savannah State)
85	Jalen HarrisClick here to hear it	TE	6-4	257	JR	Montgomery, Ala. (St. James)
86	Carson Griffis	WR	5-10	169	RS FR	Homewood, Ala. (Homewood)
87	Pace Ozmint	WR	6-1	181	RS FR	Glencoe, Ala. (Glencoe)
89	Griffin KingClick here to hear it	WR	5-10	174	SO	Atlanta, Ga. (Marist School)
91	Nick CoeClick here to hear it	DL	6-6	270	RS FR	Asheboro, N.C. (Asheboro)
93	Tyler Carter	DL	6-1	271	SO	Decatur, Ala. (Decatur)
95	Dontavius Russell	DL	6-3	310	JR	Carrollton, Ga. (Carrollton)
97	Gary WalkerClick here to hear it	DL	5-11	273	SO	Toccoa, Ga. (Stephens County)
99	Spencer Nigh	FB	6-0	269	SO	Magnolia, Texas (Magnolia)
